subject,relation,object
paper_1,AUTHORED_BY,Ninghao Liu
paper_1,AUTHORED_BY,Yong Ge
paper_1,AUTHORED_BY,Li Li
paper_1,AUTHORED_BY,X. Hu
paper_1,AUTHORED_BY,Rui Chen
paper_1,AUTHORED_BY,Soo-Hyun Choi
paper_1,USES_METHOD,autoencoder
paper_1,BELONGS_TO_DOMAIN,movie
paper_1,GENERATES_EXPLANATION_TYPE,attention
paper_1,USES_DATASET,movielens
paper_1,USES_DATASET,yelp
paper_1,EVALUATED_BY,accuracy
paper_1,EVALUATED_BY,recall
paper_2,AUTHORED_BY,Vito Bellini
paper_2,AUTHORED_BY,Angelo Schiavone
paper_2,AUTHORED_BY,T. D. Noia
paper_2,AUTHORED_BY,Azzurra Ragone
paper_2,AUTHORED_BY,E. Sciascio
paper_2,BELONGS_TO_DOMAIN,movie
paper_2,GENERATES_EXPLANATION_TYPE,attention
paper_2,USES_DATASET,movielens
paper_2,EVALUATED_BY,accuracy
paper_3,AUTHORED_BY,Roan Schellingerhout
paper_3,GENERATES_EXPLANATION_TYPE,attention
paper_4,AUTHORED_BY,Shuyu Guo
paper_4,AUTHORED_BY,Shuo Zhang
paper_4,AUTHORED_BY,Weiwei Sun
paper_4,AUTHORED_BY,Pengjie Ren
paper_4,AUTHORED_BY,Zhumin Chen
paper_4,AUTHORED_BY,Z. Ren
paper_4,USES_METHOD,prompt
paper_4,BELONGS_TO_DOMAIN,movie
paper_4,GENERATES_EXPLANATION_TYPE,counterfactual
paper_4,USES_DATASET,e-redial
paper_4,USES_DATASET,redial
paper_4,EVALUATED_BY,accuracy
paper_4,EVALUATED_BY,bleu
paper_4,EVALUATED_BY,f1
paper_5,AUTHORED_BY,Xu Chen
paper_5,AUTHORED_BY,Yongfeng Zhang
paper_5,AUTHORED_BY,Jingxuan Wen
paper_5,BELONGS_TO_DOMAIN,health
paper_5,GENERATES_EXPLANATION_TYPE,attention
paper_5,GENERATES_EXPLANATION_TYPE,counterfactual
paper_5,USES_DATASET,yelp
paper_5,EVALUATED_BY,accuracy
paper_5,EVALUATED_BY,bleu
paper_5,EVALUATED_BY,precision
paper_5,EVALUATED_BY,recall
paper_5,EVALUATED_BY,rouge
paper_6,AUTHORED_BY,Jianxun Lian
paper_6,AUTHORED_BY,Yuxuan Lei
paper_6,AUTHORED_BY,Xu Huang
paper_6,AUTHORED_BY,Jing Yao
paper_6,AUTHORED_BY,Wei Xu
paper_6,AUTHORED_BY,Xing Xie
paper_6,USES_METHOD,gpt
paper_6,USES_METHOD,llm
paper_6,GENERATES_EXPLANATION_TYPE,feature
paper_6,EVALUATED_BY,accuracy
paper_6,EVALUATED_BY,recall
paper_7,AUTHORED_BY,Yunfan Gao
paper_7,AUTHORED_BY,Tao Sheng
paper_7,AUTHORED_BY,Youlin Xiang
paper_7,AUTHORED_BY,Yun Xiong
paper_7,AUTHORED_BY,Haofen Wang
paper_7,AUTHORED_BY,Jiawei Zhang
paper_7,USES_METHOD,gpt
paper_7,USES_METHOD,prompt
paper_7,BELONGS_TO_DOMAIN,movie
paper_7,USES_DATASET,movielens
paper_7,EVALUATED_BY,mae
paper_7,EVALUATED_BY,precision
paper_7,EVALUATED_BY,recall
paper_8,AUTHORED_BY,Hanqi Yan
paper_8,AUTHORED_BY,Lin Gui
paper_8,AUTHORED_BY,Menghan Wang
paper_8,AUTHORED_BY,Kun Zhang
paper_8,AUTHORED_BY,Yulan He
paper_8,USES_METHOD,vae
paper_8,GENERATES_EXPLANATION_TYPE,attention
paper_8,USES_DATASET,amazon
paper_8,EVALUATED_BY,accuracy
paper_8,EVALUATED_BY,mae
paper_8,EVALUATED_BY,mse
paper_8,EVALUATED_BY,precision
paper_8,EVALUATED_BY,recall
paper_9,AUTHORED_BY,Luke Friedman
paper_9,AUTHORED_BY,Sameer Ahuja
paper_9,AUTHORED_BY,David Allen
paper_9,AUTHORED_BY,Zhenning Tan
paper_9,AUTHORED_BY,Hakim Sidahmed
paper_9,AUTHORED_BY,Changbo Long
paper_9,AUTHORED_BY,Jun Xie
paper_9,AUTHORED_BY,Gabriel Schubiner
paper_9,AUTHORED_BY,Ajay Patel
paper_9,AUTHORED_BY,Harsh Lara
paper_9,AUTHORED_BY,Brian Chu
paper_9,AUTHORED_BY,Zexiang Chen
paper_9,AUTHORED_BY,Manoj Tiwari
paper_9,USES_METHOD,llm
paper_10,AUTHORED_BY,Ziheng Chen
paper_10,AUTHORED_BY,Fabrizio Silvestri
paper_10,AUTHORED_BY,Jia Wang
paper_10,AUTHORED_BY,Yongfeng Zhang
paper_10,AUTHORED_BY,Gabriele Tolomei
paper_10,GENERATES_EXPLANATION_TYPE,counterfactual
paper_10,USES_DATASET,movielens
paper_10,EVALUATED_BY,precision
paper_11,AUTHORED_BY,Alexander Felfernig
paper_11,AUTHORED_BY,Manfred Wundara
paper_11,AUTHORED_BY,Thi Ngoc Trang Tran
paper_11,AUTHORED_BY,Seda Polat-Erdeniz
paper_11,AUTHORED_BY,Sebastian Lubos
paper_11,AUTHORED_BY,Merfat El Mansi
paper_11,AUTHORED_BY,Damian Garber
paper_11,AUTHORED_BY,Viet-Man Le
paper_11,BELONGS_TO_DOMAIN,food
paper_11,BELONGS_TO_DOMAIN,news
paper_12,AUTHORED_BY,Mouadh Guesmi
paper_12,AUTHORED_BY,Mohamed Amine Chatti
paper_12,AUTHORED_BY,Shoeb Joarder
paper_12,AUTHORED_BY,Qurat Ul Ain
paper_12,AUTHORED_BY,R. Alatrash
paper_12,AUTHORED_BY,Clara Siepmann
paper_12,AUTHORED_BY,Tannaz Vahidi
paper_12,BELONGS_TO_DOMAIN,music
paper_12,GENERATES_EXPLANATION_TYPE,attention
paper_12,GENERATES_EXPLANATION_TYPE,counterfactual
paper_13,AUTHORED_BY,Yingqiang Ge
paper_13,AUTHORED_BY,Shuchang Liu
paper_13,AUTHORED_BY,Zuohui Fu
paper_13,AUTHORED_BY,Juntao Tan
paper_13,AUTHORED_BY,Zelong Li
paper_13,AUTHORED_BY,Shuyuan Xu
paper_13,AUTHORED_BY,Yunqi Li
paper_13,AUTHORED_BY,Yikun Xian
paper_13,AUTHORED_BY,Yongfeng Zhang
paper_14,AUTHORED_BY,Giacomo Balloccu
paper_14,AUTHORED_BY,Ludovico Boratto
paper_14,AUTHORED_BY,G. Fenu
paper_14,AUTHORED_BY,Mirko Marras
paper_14,BELONGS_TO_DOMAIN,movie
paper_14,EVALUATED_BY,accuracy
paper_15,AUTHORED_BY,Qiyao Peng
paper_15,AUTHORED_BY,Hongtao Liu
paper_15,AUTHORED_BY,Hua Huang
paper_15,AUTHORED_BY,Qing Yang
paper_15,AUTHORED_BY,Minglai Shao
paper_15,USES_METHOD,llm
paper_15,BELONGS_TO_DOMAIN,game
paper_15,BELONGS_TO_DOMAIN,movie
paper_15,BELONGS_TO_DOMAIN,music
paper_15,GENERATES_EXPLANATION_TYPE,attention
paper_15,USES_DATASET,amazon
paper_15,USES_DATASET,movielens
paper_15,USES_DATASET,yelp
paper_15,EVALUATED_BY,accuracy
paper_15,EVALUATED_BY,bleu
paper_15,EVALUATED_BY,f1
paper_15,EVALUATED_BY,precision
paper_15,EVALUATED_BY,recall
paper_15,EVALUATED_BY,rouge
paper_16,AUTHORED_BY,Y. Lin
paper_16,AUTHORED_BY,Yong Liu
paper_16,AUTHORED_BY,Fan Lin
paper_16,AUTHORED_BY,Lixin Zou
paper_16,AUTHORED_BY,Pengcheng Wu
paper_16,AUTHORED_BY,Wenhua Zeng
paper_16,AUTHORED_BY,Huanhuan Chen
paper_16,AUTHORED_BY,C. Miao
paper_16,USES_METHOD,attention
paper_16,BELONGS_TO_DOMAIN,social
paper_16,GENERATES_EXPLANATION_TYPE,attention
paper_16,GENERATES_EXPLANATION_TYPE,kg
paper_16,EVALUATED_BY,accuracy
paper_17,AUTHORED_BY,Yao Zhou
paper_17,AUTHORED_BY,Haonan Wang
paper_17,AUTHORED_BY,Jingrui He
paper_17,AUTHORED_BY,Haixun Wang
paper_17,USES_METHOD,attention
paper_17,BELONGS_TO_DOMAIN,business
paper_17,BELONGS_TO_DOMAIN,movie
paper_17,GENERATES_EXPLANATION_TYPE,attention
paper_17,GENERATES_EXPLANATION_TYPE,counterfactual
paper_17,GENERATES_EXPLANATION_TYPE,feature
paper_17,GENERATES_EXPLANATION_TYPE,rationale
paper_17,GENERATES_EXPLANATION_TYPE,saliency
paper_17,USES_DATASET,amazon
paper_17,EVALUATED_BY,f1
paper_17,EVALUATED_BY,precision
paper_17,EVALUATED_BY,recall
paper_18,AUTHORED_BY,Riccardo Porcedda
paper_18,GENERATES_EXPLANATION_TYPE,feature
paper_18,EVALUATED_BY,accuracy
paper_18,EVALUATED_BY,auc
paper_19,AUTHORED_BY,Roan Schellingerhout
paper_19,AUTHORED_BY,Francesco Barile
paper_19,AUTHORED_BY,N. Tintarev
paper_19,GENERATES_EXPLANATION_TYPE,attention
paper_19,GENERATES_EXPLANATION_TYPE,feature
paper_19,GENERATES_EXPLANATION_TYPE,saliency
paper_20,AUTHORED_BY,Tsung-Hao Huang
paper_20,AUTHORED_BY,Tarek Junied
paper_20,AUTHORED_BY,Marco Pegoraro
paper_20,AUTHORED_BY,W. M. Aalst
paper_20,EVALUATED_BY,precision
paper_21,AUTHORED_BY,Yao Rong
paper_21,AUTHORED_BY,Tobias Leemann
paper_21,AUTHORED_BY,Thai-trang Nguyen
paper_21,AUTHORED_BY,Lisa Fiedler
paper_21,AUTHORED_BY,Peizhu Qian
paper_21,AUTHORED_BY,Vaibhav Unhelkar
paper_21,AUTHORED_BY,Tina Seidel
paper_21,AUTHORED_BY,Gjergji Kasneci
paper_21,AUTHORED_BY,Enkelejda Kasneci
paper_21,USES_METHOD,prompt
paper_21,BELONGS_TO_DOMAIN,medical
paper_21,GENERATES_EXPLANATION_TYPE,attention
paper_21,GENERATES_EXPLANATION_TYPE,counterfactual
paper_21,GENERATES_EXPLANATION_TYPE,feature
paper_21,EVALUATED_BY,accuracy
paper_22,AUTHORED_BY,Feng Xia
paper_22,AUTHORED_BY,Ciyuan Peng
paper_22,AUTHORED_BY,Jing Ren
paper_22,AUTHORED_BY,F. Febrinanto
paper_22,AUTHORED_BY,Renqiang Luo
paper_22,AUTHORED_BY,Vidya Saikrishna
paper_22,AUTHORED_BY,Shuo Yu
paper_22,AUTHORED_BY,Xiangjie Kong
paper_22,USES_METHOD,attention
paper_22,USES_METHOD,autoencoder
paper_22,USES_METHOD,gnn
paper_22,USES_METHOD,prompt
